objectID,sourceMuseum,sourceObjectID,title,objectName,department,culture,period,objectDate,medium,creditLine,accessionYear,excavation,productionPlace,findspot,primaryImage,objectURL
bm:G_1894-1101-213,bm,G_1894-1101-213,Alabastron,alabastron,Greek and Roman,Cypro-Archaic II (?),Cypro-Archaic II (?),550BC-375BC,glass,"From: Turner Bequest Excavations, Amathus",1894,"Excavated by: Turner Bequest Excavations, Amathus — Excavated/Findspot: Amathus (historic) , Site E, tomb 83",Made in: Cyprus (?),"Excavated/Findspot: Amathus (historic) , Site E, tomb 83",http://media.britishmuseum.org/media/Repository/Documents/2014_10/6_14/1676995c_4d8a_48ac_b171_a3bc00f5a606/preview_00426100_001.jpg,https://www.britishmuseum.org/collection/object/G_1894-1101-213
bm:W_1825-0421-1,bm,W_1825-0421-1,Block,block,Middle East,Achaemenid,Achaemenid,5thC BC,limestone (grey),"Donated by: Sir Gore Ouseley, 1st Baronet",1825,"Excavated/Findspot: Apadana (Persepolis) , North Façade, left of right hand stairwell column.",Made in: Persepolis,"Excavated/Findspot: Apadana (Persepolis) , North Façade, left of right hand stairwell column.",http://media.britishmuseum.org/media/Repository/Documents/2014_11/10_7/5064c5a7_a4a2_4110_9384_a3df007d1e58/preview_01493331_001.jpg,https://www.britishmuseum.org/collection/object/W_1825-0421-1
bm:W_1848-1104-1,bm,W_1848-1104-1,Object: The Black Obelisk,obelisk,Middle East,Neo-Assyrian,Neo-Assyrian,825BC,limestone (black),,1848,Excavated by: Sir Austen Henry Layard — Excavated/Findspot: Nimrud,,Excavated/Findspot: Nimrud,http://media.britishmuseum.org/media/Repository/Documents/2014_10/5_2/fd60bada_bbbe_4310_a90f_a3bb002a6a26/preview_00290479_001.jpg,https://www.britishmuseum.org/collection/object/W_1848-1104-1
bm:W_1856-0909-57,bm,W_1856-0909-57,Door-Sill,door-sill,Middle East,Neo-Assyrian,Neo-Assyrian,645BC (c.),gypsum,,1856,"Excavated by: Hormuzd Rassam — Excavated/Findspot: North Palace (Nineveh) , Room 1
Door C",,"Excavated/Findspot: North Palace (Nineveh) , Room 1
Door C",http://media.britishmuseum.org/media/Repository/Documents/2014_10/1_7/3aa3f429_5d65_47ed_992c_a3b700794928/preview_00036059_001.jpg,https://www.britishmuseum.org/collection/object/W_1856-0909-57
bm:W_1880-0617-1941,bm,W_1880-0617-1941,Object: The Cyrus Cylinder,cylinder,Middle East,Achaemenid Dynasty,Achaemenid Dynasty,539BC (after),fired clay,,1880,"Excavated by: Hormuzd Rassam — Excavated/Findspot: Amran (Babylon) , For the evidence on findspot see Walker C B F 1972a.",Made in: Babylon (historic - Iraq),"Excavated/Findspot: Amran (Babylon) , For the evidence on findspot see Walker C B F 1972a.",http://media.britishmuseum.org/media/Repository/Documents/2014_10/4_21/db6b39fb_ec3e_4ae0_98ac_a3ba015c8e30/preview_00262857_001.jpg,https://www.britishmuseum.org/collection/object/W_1880-0617-1941
bm:W_1880-330,bm,W_1880-330,Box,box,Middle East,Mughal dynasty,Mughal dynasty,17thC (circa),jade,,,Found/Acquired: India,,Found/Acquired: India,http://media.britishmuseum.org/media/Repository/Documents/2014_9/30_12/830caf7e_49b6_4a84_98bd_a3b600c61f48/preview_00006315_001.jpg,https://www.britishmuseum.org/collection/object/W_1880-330
bm:W_1897-1231-116,bm,W_1897-1231-116,Series: Oxus Treasure,armlet,Middle East,Achaemenid,Achaemenid,5thC BC-4thC BC,gold,Bequeathed by: Sir Augustus Wollaston Franks,1897,Excavated/Findspot: Takht-i Kuwad (?),,Excavated/Findspot: Takht-i Kuwad (?),http://media.britishmuseum.org/media/Repository/Documents/2014_11/12_16/3421c686_d4a6_42f6_9291_a3e101122631/preview_00113944_001.jpg,https://www.britishmuseum.org/collection/object/W_1897-1231-116
bm:W_1922-0511-255,bm,W_1922-0511-255,Box,box,Middle East,Neo-Hittite,Neo-Hittite,9thC BC-7thC BC,stone,,1922,"Excavated by: Sir Leonard Woolley — Excavated/Findspot: Carchemish (historic) , Citadel water postern (near)",,"Excavated/Findspot: Carchemish (historic) , Citadel water postern (near)",http://media.britishmuseum.org/media/Repository/Documents/2014_11/10_22/4d2b6b44_7333_4fb5_8e17_a3df01731f3d/preview_01557277_001.jpg,https://www.britishmuseum.org/collection/object/W_1922-0511-255
bm:W_1970-0209-18,bm,W_1970-0209-18,Bowl,bowl,Middle East,Iron Age,Iron Age,8thC BC-7thC BC,pottery,Donated by: British School of Archaeology in Jerusalem,1970,"Excavated by: Dame Kathleen Mary Kenyon — Excavated/Findspot: Ophel , East side, Cave 1, tomb, A XXVI?. (East side)",Made in: Palestine (historic),"Excavated/Findspot: Ophel , East side, Cave 1, tomb, A XXVI?. (East side)",,https://www.britishmuseum.org/collection/object/W_1970-0209-18
bm:W_1970-0604-2,bm,W_1970-0604-2,Altar,altar,Middle East,Sabaean,Sabaean,1stC BC-1stC,bronze,Purchased from: Christie's,1970,Excavated/Findspot: Marib (historic - Saba) (?),Made in: Yemen,Excavated/Findspot: Marib (historic - Saba) (?),http://media.britishmuseum.org/media/Repository/Documents/2014_10/1_6/2eb8e44b_da9f_40b3_9894_a3b70066911c/preview_00030809_001.jpg,https://www.britishmuseum.org/collection/object/W_1970-0604-2
bm:W_As1967-02-1,bm,W_As1967-02-1,Jacket (sheepskin jacket (farwah/farweh)),jacket (sheepskin jacket (farwah/farweh)),Middle East,,,late 19th century to early 20th century (circa),sheepskin,Donated by: Jerusalem and the East Mission,1967,Found/Acquired: Palestine (historic),Made in: Palestine (historic),Found/Acquired: Palestine (historic),http://media.britishmuseum.org/media/Repository/Documents/2020_12/3_18/6f5c7f95_4c2f_4bea_af77_ac860136492b/preview_As1967_02_1___1_.jpg,https://www.britishmuseum.org/collection/object/W_As1967-02-1
bm:Y_EA1770,bm,Y_EA1770,Statue,statue,Egypt and Sudan,Kushite,Kushite,680BC (c.),granite gneiss,,1932,"Excavated by: Prof. Francis Llewellyn Griffith — Excavated/Findspot: Kawa, Temple T, in area E of south-eastern part of temple (Macadam II, pl. 12).",,"Excavated/Findspot: Kawa, Temple T, in area E of south-eastern part of temple (Macadam II, pl. 12).",http://media.britishmuseum.org/media/Repository/Documents/2014_10/11_4/a34456ad_c3ec_421a_a71e_a3c100430071/preview_00596762_001.jpg,https://www.britishmuseum.org/collection/object/Y_EA1770
bm:Y_EA24,bm,Y_EA24,Object: The Rosetta Stone,stela,Egypt and Sudan,Ptolemaic,Ptolemaic,196BC,granodiorite,"Donated by: George III, King of the United Kingdom",1802,Excavated by: Pierre Francois Xavier Bouchard — Excavated/Findspot: Fort Saint Julien,,Excavated/Findspot: Fort Saint Julien,http://media.britishmuseum.org/media/Repository/Documents/2014_9/30_14/850117f8_773c_4b7e_af44_a3b600f6de6d/preview_00016456_004.jpg,https://www.britishmuseum.org/collection/object/Y_EA24
bm:Y_EA51515,bm,Y_EA51515,Amphora,amphora,Egypt and Sudan,Meroitic (Find spot),Meroitic (Find spot),2ndC-3rdC(early),pottery,Donated by: University of Oxford,1912,"Excavated/Findspot: Faras (Nubia) , Meroitic Cemetery
Grave 1087",,"Excavated/Findspot: Faras (Nubia) , Meroitic Cemetery
Grave 1087",http://media.britishmuseum.org/media/Repository/Documents/2014_9/30_14/0bee2191_96f3_4932_b839_a3b600f685d6/preview_00016327_001.jpg,https://www.britishmuseum.org/collection/object/Y_EA51515
