objectID,sourceMuseum,sourceObjectID,title,objectName,department,culture,period,objectDate,medium,creditLine,accessionYear,excavation,placeOfCreation,placeOfDiscovery,provenance,primaryImage,objectURL
louvre:cl010268234,louvre,cl010268234,cratère d'Eurytios,cratère,"Département des Antiquités grecques, étrusques et romaines",,"Epoque / période : archaïque ; corinthien ancien (?) ; corinthien moyen (?)

Date de création/fabrication : 1e quart VIe s. av. J.-C. (vers -600 - -590)","Epoque / période : archaïque ; corinthien ancien (?) ; corinthien moyen (?)

Date de création/fabrication : 1e quart VIe s. av. J.-C. (vers -600 - -590)","Matériau : argile
Technique : peinture brillante (peinture), incisé = incision, rehaut rouge (peinture->rehaut), rehaut blanc (peinture->rehaut), dessin au trait, figures noires (céramique)",achat (1861),1861,Cerveteri = Caeré (d'après Cataloghi Campana),Corinthe,Cerveteri = Caeré (d'après Cataloghi Campana),,https://collections.louvre.fr/media/cache/large/0000000021/0000268234/0000809691_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010268234
louvre:cl010275362,louvre,cl010275362,Antinous Mondragone,"statue (fragment, tête)","Département des Antiquités grecques, étrusques et romaines",,"Epoque / période : romain impérial

Date de création/fabrication : 2e quart IIe s. ap. J.-C. (130 - 138)","Epoque / période : romain impérial

Date de création/fabrication : 2e quart IIe s. ap. J.-C. (130 - 138)","Matériau : marbre
Technique : ronde-bosse (sculpture) (un bouchon d'encastrement est présent. Une mortaise au sommet de la tête, quatre gros trous et plusieurs petits pour fixation d'une couronne métallique sont visibles.), incrustation = incrusté (les yeux évidés étaient incrustés.)",achat (1807),1807,Monte Porzio Catone = Tusculum (villa Mondragone),Italie,Monte Porzio Catone = Tusculum (villa Mondragone),,https://collections.louvre.fr/media/cache/large/0000000021/0000275362/0000618370_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010275362
louvre:cl010275491,louvre,cl010275491,statue,statue,"Département des Antiquités grecques, étrusques et romaines",,"Epoque / période : romain impérial

Date de création/fabrication : Ie s. ap. J.-C. ; IIe s. ap. J.-C. (d'après Gregarek) (1 - 200)","Epoque / période : romain impérial

Date de création/fabrication : Ie s. ap. J.-C. ; IIe s. ap. J.-C. (d'après Gregarek) (1 - 200)","Matériau : basanite
Technique : ronde-bosse (sculpture)",saisie napoléonienne (1803),1803,Italie,Italie (?),Italie,,https://collections.louvre.fr/media/cache/original/0000000021/0000275491/0000639614_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010275491
louvre:cl010276874,louvre,cl010276874,Dame d'Auxerre,statuette,"Département des Antiquités grecques, étrusques et romaines",,"Epoque / période : orientalisant ; dédalique

Date de création/fabrication : (-640 - -620)","Epoque / période : orientalisant ; dédalique

Date de création/fabrication : (-640 - -620)","Matériau : calcaire
Technique : ronde-bosse (sculpture), gravé = gravure, peinture
Précision technique : gravé(décor de la robe)-peinture rouge(traces sur le buste)",échange (1909),1909,,Éleutherne (?),,,https://collections.louvre.fr/media/cache/large/0000000021/0000276874/0001296200_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010276874
louvre:cl010277053,louvre,cl010277053,Aphrodite du type de la Vénus du Capitole,groupe statuaire,"Département des Antiquités grecques, étrusques et romaines",,"Epoque / période : romain impérial

Date de création/fabrication : 3e quart IIe s. ap. J.-C. (époque antonine d'après Muthmann) (vers 160)","Epoque / période : romain impérial

Date de création/fabrication : 3e quart IIe s. ap. J.-C. (époque antonine d'après Muthmann) (vers 160)","Matériau : marbre (marbre grec (?) ; tête et corps de marbres différents)
Technique : ronde-bosse (sculpture), trépan (sculpture) (cheveux)",achat (1807),1807,Frascati = Tusculum - 1758 (Monte Compatri) (1758),Italie,Frascati = Tusculum - 1758 (Monte Compatri),,https://collections.louvre.fr/media/cache/large/0000000021/0000277053/0000621326_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010277053
louvre:cl010277627,louvre,cl010277627,Vénus de Milo,statue,"Département des Antiquités grecques, étrusques et romaines",,"Epoque / période : hellénistique

Date de création/fabrication : 3e quart IIe s. av. J.-C. (-150 - -125)","Epoque / période : hellénistique

Date de création/fabrication : 3e quart IIe s. av. J.-C. (-150 - -125)","Matériau : marbre de Paros (lychnites)
Technique : ronde-bosse (sculpture) (Elle est composée de deux éléments joints au niveau des hanches. Le bras gauche était rapporté (présence d'une mortaise). Des éléments en bronze étaient rapportés : présence de trous pour un diadème, et un bracelet au bras droit.)",don (1821),1821,Mélos (Milo) - 1820 (1820),Mélos = Milo (?),Mélos (Milo) - 1820,,https://collections.louvre.fr/media/cache/large/0000000021/0000277627/0000625031_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010277627
louvre:cl010277986,louvre,cl010277986,Vénus d'Arles,statue,"Département des Antiquités grecques, étrusques et romaines",,"Epoque / période : romain impérial

Date de création/fabrication : 4e quart Ie s. av. J.-C. (?) (d'après Vierneisel-Schloerb) (-25 - 0)","Epoque / période : romain impérial

Date de création/fabrication : 4e quart Ie s. av. J.-C. (?) (d'après Vierneisel-Schloerb) (-25 - 0)","Matériau : marbre de l'Hymette
Technique : ronde-bosse (sculpture) (des traces sur le devant du ruban laissent supposer la présence d'un élément rapporté sans certitude cependant)",saisie révolutionnaire (1798),1798,Arles = Arelatum - 1651 (théâtre) (1651),Gaule narbonnaise (?),Arles = Arelatum - 1651 (théâtre),,https://collections.louvre.fr/media/cache/large/0000000021/0000277986/0000621357_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010277986
louvre:cl010278203,louvre,cl010278203,Pallas de Velletri,statue,"Département des Antiquités grecques, étrusques et romaines",,"Epoque / période : romain impérial

Date de création/fabrication : Ie s. ap. J.-C. (d'après Mathiopoulos) (1 - 100)","Epoque / période : romain impérial

Date de création/fabrication : Ie s. ap. J.-C. (d'après Mathiopoulos) (1 - 100)","Matériau : marbre de Thasos ((pour les parties antiques, marbre de Carrare pour les restitutions))
Technique : ronde-bosse (sculpture), peinture (traces de peinture rouge sur les yeux et les lèvres)
Précision technique : éléments rapportés (la tête et le cou, le bras droit et l'avant bras gauche)",achat (1803),1803,Velletri - 1797 (Troncavia) (1797),Italie,Velletri - 1797 (Troncavia),,https://collections.louvre.fr/media/cache/large/0000000021/0000278203/0001129451_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010278203
louvre:cl010278706,louvre,cl010278706,Gladiateur Borghèse,statue,"Département des Antiquités grecques, étrusques et romaines",,"Epoque / période : hellénistique

Date de création/fabrication : 4e quart IIe s. av. J.-C. ; 1e quart Ie s. av. J.-C. (fin ; debut) (vers -100)","Epoque / période : hellénistique

Date de création/fabrication : 4e quart IIe s. av. J.-C. ; 1e quart Ie s. av. J.-C. (fin ; debut) (vers -100)","Matériau : marbre du Pentélique
Technique : ronde-bosse (sculpture) (monolithe)",achat (1807),1807,Anzio = Antium,Grèce (?),Anzio = Antium,,https://collections.louvre.fr/media/cache/large/0000000021/0000278706/0000755582_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010278706
louvre:cl010278726,louvre,cl010278726,Diane de Gabies,statue,"Département des Antiquités grecques, étrusques et romaines",,Epoque / période : romain impérial,Epoque / période : romain impérial,"Matériau : marbre de Paros
Technique : ronde-bosse (sculpture)",achat (1807),1807,Gabies - 1792 (1792),Italie,Gabies - 1792,,https://collections.louvre.fr/media/cache/large/0000000021/0000278726/0001303335_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010278726
