objectID,origin_label,origin_label_en,origin_precision,origin_lat,origin_lon,origin_country,origin_country_en,museum_lat,museum_lon
met:323610,posiblemente de Acemhöyük,probably from Acemhöyük,subregion,38.19,34.17,Turquía,Turkey,40.7794,-73.9632
met:323950,Kamterlan II,Kamterlan II,subregion,33.5,47.5,Irán,Iran,40.7794,-73.9632
met:324116,Mesopotamia,Mesopotamia,region,33.0,44.0,Irak,Iraq,40.7794,-73.9632
met:324797,presuntamente de Ziwiye,said to be from Ziwiye,subregion,36.05,47.3,Irán,Iran,40.7794,-73.9632
met:325417,Nippur,Nippur,subregion,32.13,45.24,Irak,Iraq,40.7794,-73.9632
met:325572,Nimrud (ancient Kalhu),Nimrud (ancient Kalhu),subregion,36.0994,43.325,Irak,Iraq,40.7794,-73.9632
met:326082,Tell Taya,Tell Taya,subregion,36.4,42.0,Irak,Iraq,40.7794,-73.9632
met:326373,posiblemente de Kültepe (Karum Kanesh),probably from Kültepe (Karum Kanesh),subregion,38.85,35.62,Turquía,Turkey,40.7794,-73.9632
met:326466,Shahr-i Qumis (ancient Hecatompylos),Shahr-i Qumis (ancient Hecatompylos),subregion,35.95,54.38,Irán,Iran,40.7794,-73.9632
met:327079,Siria,Syria,region,34.8021,38.9968,Siria,Syria,40.7794,-73.9632
met:327547,península ibérica,Iberian Peninsula,region,40.0,-4.0,España,Spain,40.7794,-73.9632
met:327754,Siria,Syria,region,34.8021,38.9968,Siria,Syria,40.7794,-73.9632
met:328095,Siria,Syria,region,34.8021,38.9968,Siria,Syria,40.7794,-73.9632
met:328593,Bactriana-Margiana o este de Irán,Bactria-Margiana or eastern Iran,region,36.0,62.0,Turkmenistán,Turkmenistan,40.7794,-73.9632
met:328744,Mesopotamia o Irán,Mesopotamia or Iran,region,33.5,45.5,Irak,Iraq,40.7794,-73.9632
met:329067,Mesopotamia,Mesopotamia,region,33.0,44.0,Irak,Iraq,40.7794,-73.9632
met:445491,Egipto,Egypt,country,26.8206,30.8025,Egipto,Egypt,40.7794,-73.9632
met:445493,Egipto,Egypt,country,26.8206,30.8025,Egipto,Egypt,40.7794,-73.9632
met:445495,Egipto,Egypt,country,26.8206,30.8025,Egipto,Egypt,40.7794,-73.9632
met:445497,Egipto,Egypt,country,26.8206,30.8025,Egipto,Egypt,40.7794,-73.9632
met:446966,Irán (probable),probably Iran,country,32.4279,53.688,Irán,Iran,40.7794,-73.9632
met:446968,Uzbekistán,present-day Uzbekistan,country,41.3775,64.5853,Uzbekistán,Uzbekistan,40.7794,-73.9632
met:446970,Uzbekistán,present-day Uzbekistan,country,41.3775,64.5853,Uzbekistán,Uzbekistan,40.7794,-73.9632
met:446973,Uzbekistán,present-day Uzbekistan,country,41.3775,64.5853,Uzbekistán,Uzbekistan,40.7794,-73.9632
met:448266,Irán,Iran,country,32.4279,53.688,Irán,Iran,40.7794,-73.9632
met:448268,Siria,Syria,country,34.8021,38.9968,Siria,Syria,40.7794,-73.9632
met:448270,Irán,Iran,country,32.4279,53.688,Irán,Iran,40.7794,-73.9632
met:448273,Siria,Syria,country,34.8021,38.9968,Siria,Syria,40.7794,-73.9632
met:448735,Irak,Iraq,country,33.2232,43.6793,Irak,Iraq,40.7794,-73.9632
met:448737,Irak,Iraq,country,33.2232,43.6793,Irak,Iraq,40.7794,-73.9632
met:448739,Irak,Iraq,country,33.2232,43.6793,Irak,Iraq,40.7794,-73.9632
met:448741,Irak,Iraq,country,33.2232,43.6793,Irak,Iraq,40.7794,-73.9632
met:448742,Irak,Iraq,country,33.2232,43.6793,Irak,Iraq,40.7794,-73.9632
met:543863,área de Dendera,Dendera area,subregion,26.14,32.67,Egipto,Egypt,40.7794,-73.9632
met:543866,Egipto,Egypt,country,26.8206,30.8025,Egipto,Egypt,40.7794,-73.9632
met:543870,Saqqara,Saqqara,subregion,29.8714,31.2164,Egipto,Egypt,40.7794,-73.9632
met:543875,Saqqara,Saqqara,subregion,29.8714,31.2164,Egipto,Egypt,40.7794,-73.9632
met:543881,Egipto,Egypt,country,26.8206,30.8025,Egipto,Egypt,40.7794,-73.9632
met:543890,Lisht North,Lisht North,subregion,29.5667,31.2167,Egipto,Egypt,40.7794,-73.9632
met:543894,Lisht North,Lisht North,subregion,29.5667,31.2167,Egipto,Egypt,40.7794,-73.9632
met:543895,Giza,Giza,subregion,29.9765,31.1313,Egipto,Egypt,40.7794,-73.9632
met:543896,Giza,Giza,subregion,29.9765,31.1313,Egipto,Egypt,40.7794,-73.9632
met:543897,Memphis (Mit Rahina),Memphis (Mit Rahina),subregion,29.8483,31.25,Egipto,Egypt,40.7794,-73.9632
met:543898,Egipto,Egypt,country,26.8206,30.8025,Egipto,Egypt,40.7794,-73.9632
met:543899,Giza,Giza,subregion,29.9765,31.1313,Egipto,Egypt,40.7794,-73.9632
met:543900,Saqqara,Saqqara,subregion,29.8714,31.2164,Egipto,Egypt,40.7794,-73.9632
