objectID,origin_label,origin_label_en,origin_precision,origin_lat,origin_lon,origin_country,origin_country_en,museum_lat,museum_lon
louvre:cl010270005,Atenas,Athens,site,37.9838,23.7275,Grecia,Greece,48.8606,2.3376
louvre:cl010271428,,,unresolved,,,,,48.8606,2.3376
louvre:cl010274864,Atenas,Athens,site,37.9838,23.7275,Grecia,Greece,48.8606,2.3376
louvre:cl010275212,Roma,Rome,site,41.9028,12.4964,Italia,Italy,48.8606,2.3376
louvre:cl010275362,Italia,Italy,country,41.8719,12.5674,Italia,Italy,48.8606,2.3376
louvre:cl010275364,Roma,Rome,site,41.9028,12.4964,Italia,Italy,48.8606,2.3376
louvre:cl010275490,Roma,Rome,site,41.9028,12.4964,Italia,Italy,48.8606,2.3376
louvre:cl010275491,Italia,Italy,country,41.8719,12.5674,Italia,Italy,48.8606,2.3376
louvre:cl010276182,Italia,Italy,country,41.8719,12.5674,Italia,Italy,48.8606,2.3376
louvre:cl010276237,Italia,Italy,country,41.8719,12.5674,Italia,Italy,48.8606,2.3376
louvre:cl010276874,Eleuterna,Eleutherna,site,35.32,24.75,Grecia,Greece,48.8606,2.3376
louvre:cl010277053,Italia,Italy,country,41.8719,12.5674,Italia,Italy,48.8606,2.3376
louvre:cl010277122,Roma,Rome,site,41.9028,12.4964,Italia,Italy,48.8606,2.3376
louvre:cl010277123,Antioquía,Antioch,site,36.2021,36.1603,Turquía,Turkey,48.8606,2.3376
louvre:cl010277325,Vulci,Vulci,site,42.42,11.625,Italia,Italy,48.8606,2.3376
louvre:cl010277627,Melos,Melos,site,36.69,24.43,Grecia,Greece,48.8606,2.3376
louvre:cl010277962,Italia,Italy,country,41.8719,12.5674,Italia,Italy,48.8606,2.3376
louvre:cl010277986,Arles,Arles,site,43.6763,4.628,Francia,France,48.8606,2.3376
louvre:cl010277994,Roma,Rome,site,41.9028,12.4964,Italia,Italy,48.8606,2.3376
louvre:cl010278007,Italia,Italy,country,41.8719,12.5674,Italia,Italy,48.8606,2.3376
louvre:cl010278203,Italia,Italy,country,41.8719,12.5674,Italia,Italy,48.8606,2.3376
louvre:cl010278706,Grecia,Greece,country,39.0742,21.8243,Grecia,Greece,48.8606,2.3376
louvre:cl010278726,Italia,Italy,country,41.8719,12.5674,Italia,Italy,48.8606,2.3376
louvre:cl010278738,Italia,Italy,country,41.8719,12.5674,Italia,Italy,48.8606,2.3376
louvre:cl010278930,Italia,Italy,country,41.8719,12.5674,Italia,Italy,48.8606,2.3376
louvre:cl010279000,Samos,Samos,site,37.75,26.8,Grecia,Greece,48.8606,2.3376
louvre:cl010279013,Farsala,Pharsalus,site,39.2975,22.3961,Grecia,Greece,48.8606,2.3376
louvre:cl010279027,Olimpia,Olympia,site,37.6383,21.63,Grecia,Greece,48.8606,2.3376
louvre:cl010279145,Egipto,Egypt,country,26.8206,30.8025,Egipto,Egypt,48.8606,2.3376
louvre:cl010279157,Atenas,Athens,site,37.9838,23.7275,Grecia,Greece,48.8606,2.3376
louvre:cl010279164,Roma,Rome,site,41.9028,12.4964,Italia,Italy,48.8606,2.3376
louvre:cl010279835,Atenas,Athens,site,37.9838,23.7275,Grecia,Greece,48.8606,2.3376
louvre:cl010279836,Atenas,Athens,site,37.9838,23.7275,Grecia,Greece,48.8606,2.3376
louvre:cl010280589,Atenas,Athens,site,37.9838,23.7275,Grecia,Greece,48.8606,2.3376
louvre:cl010281955,Roma,Rome,site,41.9028,12.4964,Italia,Italy,48.8606,2.3376
louvre:cl010298047,Cerveteri,Cerveteri,site,41.995,12.103,Italia,Italy,48.8606,2.3376
louvre:cl010302825,Roma,Rome,site,41.9028,12.4964,Italia,Italy,48.8606,2.3376
louvre:cl010303464,Roma,Rome,site,41.9028,12.4964,Italia,Italy,48.8606,2.3376
louvre:cl010304569,Thasos,Thasos,site,40.7833,24.7,Grecia,Greece,48.8606,2.3376
louvre:cl010304570,Thasos,Thasos,site,40.7833,24.7,Grecia,Greece,48.8606,2.3376
louvre:cl010304580,Olimpia,Olympia,site,37.6383,21.63,Grecia,Greece,48.8606,2.3376
louvre:cl010304581,Olimpia,Olympia,site,37.6383,21.63,Grecia,Greece,48.8606,2.3376
louvre:cl010304582,Olimpia,Olympia,site,37.6383,21.63,Grecia,Greece,48.8606,2.3376
louvre:cl010304645,Roma,Rome,site,41.9028,12.4964,Italia,Italy,48.8606,2.3376
louvre:cl010315030,Afghanistan,Afghanistan,country,33.9391,67.71,Afganistán,Afghanistan,48.8606,2.3376
louvre:cl010315035,España,Spain,country,40.4637,-3.7492,España,Spain,48.8606,2.3376
louvre:cl010315397,Uzbekistán,Uzbekistan,country,41.3775,64.5853,Uzbekistán,Uzbekistan,48.8606,2.3376
louvre:cl010318669,Irak,Iraq,country,33.2232,43.6793,Irak,Iraq,48.8606,2.3376
louvre:cl010318774,Egipto,Egypt,country,26.8206,30.8025,Egipto,Egypt,48.8606,2.3376
louvre:cl010318915,Irán,Iran,country,32.4279,53.688,Irán,Iran,48.8606,2.3376
louvre:cl010319015,India,India,country,20.5937,78.9629,India,India,48.8606,2.3376
louvre:cl010319120,Afghanistan,Afghanistan,country,33.9391,67.71,Afganistán,Afghanistan,48.8606,2.3376
louvre:cl010319251,Irán,Iran,country,32.4279,53.688,Irán,Iran,48.8606,2.3376
louvre:cl010320000,Turquía,Turkey,country,38.9637,35.2433,Turquía,Turkey,48.8606,2.3376
louvre:cl010320064,Siria,Syria,country,34.8021,38.9968,Siria,Syria,48.8606,2.3376
louvre:cl010320094,Irán,Iran,country,32.4279,53.688,Irán,Iran,48.8606,2.3376
louvre:cl010320100,Irán,Iran,country,32.4279,53.688,Irán,Iran,48.8606,2.3376
louvre:cl010320104,Irán,Iran,country,32.4279,53.688,Irán,Iran,48.8606,2.3376
louvre:cl010320125,Irán,Iran,country,32.4279,53.688,Irán,Iran,48.8606,2.3376
louvre:cl010320160,Irán,Iran,country,32.4279,53.688,Irán,Iran,48.8606,2.3376
louvre:cl010320677,Irán,Iran,country,32.4279,53.688,Irán,Iran,48.8606,2.3376
louvre:cl010320845,Irán,Iran,country,32.4279,53.688,Irán,Iran,48.8606,2.3376
louvre:cl010321189,Irán,Iran,country,32.4279,53.688,Irán,Iran,48.8606,2.3376
louvre:cl010321192,Irán,Iran,country,32.4279,53.688,Irán,Iran,48.8606,2.3376
louvre:cl010321317,Irán,Iran,country,32.4279,53.688,Irán,Iran,48.8606,2.3376
louvre:cl010321378,Irán,Iran,country,32.4279,53.688,Irán,Iran,48.8606,2.3376
louvre:cl010321498,Afghanistan,Afghanistan,country,33.9391,67.71,Afganistán,Afghanistan,48.8606,2.3376
louvre:cl010321512,Kerman,Kerman,site,30.2839,57.0834,Irán,Iran,48.8606,2.3376
louvre:cl010321537,Irán,Iran,country,32.4279,53.688,Irán,Iran,48.8606,2.3376
louvre:cl010321560,Irán,Iran,country,32.4279,53.688,Irán,Iran,48.8606,2.3376
louvre:cl010321683,Irán,Iran,country,32.4279,53.688,Irán,Iran,48.8606,2.3376
louvre:cl010326520,Susa,Susa,site,32.1881,48.2578,Irán,Iran,48.8606,2.3376
louvre:cl010326629,Susa,Susa,site,32.1881,48.2578,Irán,Iran,48.8606,2.3376
louvre:cl010327134,Turquía,Turkey,country,38.9637,35.2433,Turquía,Turkey,48.8606,2.3376
louvre:cl010327414,Irán,Iran,country,32.4279,53.688,Irán,Iran,48.8606,2.3376
louvre:cl010327537,India,India,country,20.5937,78.9629,India,India,48.8606,2.3376
louvre:cl010329109,España,Spain,country,40.4637,-3.7492,España,Spain,48.8606,2.3376
louvre:cl010329119,Siria,Syria,country,34.8021,38.9968,Siria,Syria,48.8606,2.3376
louvre:cl010329194,Irán,Iran,country,32.4279,53.688,Irán,Iran,48.8606,2.3376
louvre:cl010329312,Italia,Italy,country,41.8719,12.5674,Italia,Italy,48.8606,2.3376
louvre:cl010329343,Afghanistan,Afghanistan,country,33.9391,67.71,Afganistán,Afghanistan,48.8606,2.3376
louvre:cl010329405,Irán,Iran,country,32.4279,53.688,Irán,Iran,48.8606,2.3376
louvre:cl010329442,Irán,Iran,country,32.4279,53.688,Irán,Iran,48.8606,2.3376
louvre:cl010329960,Cercano Oriente,Near East,country,30.0,40.0,,,48.8606,2.3376
louvre:cl010330142,Irán,Iran,country,32.4279,53.688,Irán,Iran,48.8606,2.3376
louvre:cl010330266,España,Spain,country,40.4637,-3.7492,España,Spain,48.8606,2.3376
louvre:cl010330328,Irán,Iran,country,32.4279,53.688,Irán,Iran,48.8606,2.3376
louvre:cl010330446,Irán,Iran,country,32.4279,53.688,Irán,Iran,48.8606,2.3376
louvre:cl010330497,Irán,Iran,country,32.4279,53.688,Irán,Iran,48.8606,2.3376
louvre:cl010330715,India,India,country,20.5937,78.9629,India,India,48.8606,2.3376
louvre:cl010331081,Irán,Iran,country,32.4279,53.688,Irán,Iran,48.8606,2.3376
louvre:cl010331963,Siria,Syria,country,34.8021,38.9968,Siria,Syria,48.8606,2.3376
louvre:cl010332054,Irán,Iran,country,32.4279,53.688,Irán,Iran,48.8606,2.3376
louvre:cl010332079,Irán,Iran,country,32.4279,53.688,Irán,Iran,48.8606,2.3376
louvre:cl010332253,Siria,Syria,country,34.8021,38.9968,Siria,Syria,48.8606,2.3376
louvre:cl010332254,Siria,Syria,country,34.8021,38.9968,Siria,Syria,48.8606,2.3376
louvre:cl010332287,Irán,Iran,country,32.4279,53.688,Irán,Iran,48.8606,2.3376
louvre:cl010332491,España,Spain,country,40.4637,-3.7492,España,Spain,48.8606,2.3376
louvre:cl010333267,Egipto,Egypt,country,26.8206,30.8025,Egipto,Egypt,48.8606,2.3376
louvre:cl010333341,Tlemcen,Tlemcen,site,34.8828,-1.3167,Argelia,Algeria,48.8606,2.3376
louvre:cl010333443,España,Spain,country,40.4637,-3.7492,España,Spain,48.8606,2.3376
louvre:cl010333981,Irán,Iran,country,32.4279,53.688,Irán,Iran,48.8606,2.3376
louvre:cl010336904,Egipto,Egypt,country,26.8206,30.8025,Egipto,Egypt,48.8606,2.3376
louvre:cl010465641,Pompeya,Pompeii,site,40.7461,14.4989,Italia,Italy,48.8606,2.3376
